Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C12 C17 C18,C0201,
1.2pF,C15,C0201,
1k,R3 R7,R0201,
1uF,C3 C7 C8 C16 C21,C0201,
2.2k,R1 R2 R4 R9 R10 R11 R12 R13,R0201,
2.2uF,C26 C36,SPARKFUN-CAPACITORS_0603,
2.7nH,L2,0402,
3.3nH,L1,0402,
6pF,C9 C10,C0201,
10k,R6 R8,R0201,
10uF,C2,C0402,
15pF,C6 C13,C0201,
20V/0.2A/8MHz/1.2Î©/1Vth,Q1 Q2 Q4 Q5,SPARKFUN-DISCRETESEMI_SOT-416FL,
32MHz,Y2,CRYSTAL-SMD-2.0X1.6MM,
100,R5,R0201,
2450AT18B100E,E1,XDCR_2450AT18B100E,
ADAFRUIT_SENSOR_MPU-9250_ICM20948,IC1,ADAFRUIT_SENSOR_QFN24_3MM_NOEP,
CM8V-T1A-32.768KHZ,Y1,XTAL_CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC,
DW01A,IC2,SOT23-6,
FS8205,Q3,SOT95P280X145-6N,
MIC5370-SGYMT,U$1,SON50P160X160X60-7N,
NRF52832,U2,QFN48-6X6MM,
SML-P12U2TT86R,U$14,DIODFN100X60X43-2N,
SPARKFUN-DISPLAYS_OEL_1.8OEL_Y3B,DS3,SPARKFUN-DISPLAYS_OEL_1.8_FPC_Y3B,
